2025-10-06 22:44:30,913 | INFO | Started data_preprocessing.py
2025-10-06 22:44:35,550 | INFO | Loaded Walmart.csv successfully.
2025-10-06 22:44:35,559 | INFO | Date column processed and missing dates handled.
2025-10-06 22:44:35,567 | INFO | Started data_preprocessing.py
2025-10-06 22:44:35,584 | INFO | Loaded Walmart.csv successfully.
2025-10-06 22:44:35,584 | INFO | Date column processed and missing dates handled.
2025-10-06 22:45:53,382 | INFO | Started data_preprocessing.py
2025-10-06 22:45:57,587 | INFO | Loaded Walmart.csv successfully.
2025-10-06 22:45:57,604 | INFO | Date column processed and missing dates handled.
2025-10-06 22:45:57,981 | INFO | Loaded Walmart.csv successfully.
2025-10-06 22:46:58,564 | INFO | Started data_preprocessing.py
2025-10-06 22:47:08,592 | INFO | Loaded Walmart.csv successfully.
2025-10-06 22:47:08,600 | INFO | Date column processed and missing dates handled.
2025-10-06 22:47:08,889 | INFO | Loaded Walmart.csv successfully.
2025-10-06 22:47:37,526 | INFO | Started predict.py
2025-10-06 22:47:37,565 | INFO | Model and scaler loaded successfully.
2025-10-06 22:47:54,110 | INFO | Started predict.py
2025-10-06 22:47:54,142 | INFO | Model and scaler loaded successfully.
2025-10-06 22:48:12,518 | INFO | Started train.py
2025-10-06 22:48:12,548 | INFO | Data loaded: (6401, 23)
2025-10-06 22:49:01,474 | INFO | Started train.py
2025-10-06 22:49:01,503 | INFO | Data loaded: (6401, 23)
2025-10-06 22:50:34,290 | INFO | Started predict.py
2025-10-06 22:50:34,323 | INFO | Model and scaler loaded successfully.
2025-10-06 22:50:52,834 | INFO | Started predict.py
2025-10-06 22:50:52,864 | INFO | Model and scaler loaded successfully.
2025-10-06 22:50:52,864 | INFO | Started app_streamlit.py
2025-10-06 22:50:52,892 | INFO | Model and scaler loaded successfully in app_streamlit.py.
2025-10-06 22:51:34,272 | INFO | Started predict.py
2025-10-06 22:51:34,301 | INFO | Model and scaler loaded successfully.
2025-10-06 22:51:34,301 | INFO | Started app_streamlit.py
2025-10-06 22:51:34,330 | INFO | Model and scaler loaded successfully in app_streamlit.py.
2025-10-06 22:51:38,693 | INFO | Started app_streamlit.py
2025-10-06 22:51:38,725 | INFO | Model and scaler loaded successfully in app_streamlit.py.
2025-10-06 22:54:04,219 | INFO | Started app_streamlit.py
2025-10-06 22:54:05,027 | INFO | Started predict.py
2025-10-06 22:54:05,057 | INFO | Model and scaler loaded successfully.
2025-10-06 22:54:05,086 | INFO | Model and scaler loaded successfully.
2025-10-06 22:54:09,066 | INFO | Started app_streamlit.py
2025-10-06 22:54:09,096 | INFO | Model and scaler loaded successfully.
2025-10-06 23:46:56,617 | INFO | Started app_streamlit.py
2025-10-06 23:46:57,572 | INFO | Model and scaler loaded successfully.
2025-10-06 23:46:57,598 | INFO | Model and scaler loaded successfully.
2025-10-06 23:47:02,169 | INFO | Started app_streamlit.py
2025-10-06 23:47:02,197 | INFO | Model and scaler loaded successfully.
2025-10-06 23:57:46,207 | INFO | Started app_streamlit.py
2025-10-06 23:57:47,142 | INFO | Model and scaler loaded successfully.
2025-10-06 23:57:47,165 | INFO | Model and scaler loaded successfully.
2025-10-06 23:57:49,921 | INFO | Started app_streamlit.py
2025-10-06 23:57:49,952 | INFO | Model and scaler loaded successfully.
